,Month,Sales
0,2017-01-01,21714061.720000077
1,2017-02-01,11177918.72000006
2,2017-03-01,15751330.67999996
3,2017-04-01,10527737.160000034
4,2017-05-01,10620839.270000035
5,2017-06-01,19907568.279999945
6,2017-07-01,10781802.90000002
7,2017-08-01,9496834.919999987
8,2017-09-01,14820492.459999975
9,2017-11-01,11388750.799999988
10,2017-12-01,14815484.039999971
11,2018-01-01,21872646.030000046
12,2018-02-01,11367841.230000002
13,2018-03-01,14704887.609999994
14,2018-04-01,12165569.870000036
15,2018-05-01,10876971.659999987
16,2018-06-01,16368249.290000001
17,2018-07-01,12157676.01999997
18,2018-08-01,11344582.959999977
19,2018-09-01,15241676.739999982
20,2018-11-01,12295249.259999957
21,2018-12-01,17945471.32999996
22,2019-01-01,21758073.130000006
23,2019-02-01,12158534.10000001
24,2019-03-01,15418896.440000018
25,2019-04-01,10704927.670000024
26,2019-05-01,11821842.599999996
27,2019-06-01,15393917.91999999
28,2019-07-01,12270527.079999937
29,2019-08-01,11415983.189999966
30,2019-09-01,16636786.31000004
31,2019-11-01,11981220.589999992
32,2019-12-01,16187533.940000048
33,2020-01-01,24566649.10999997
34,2020-02-01,11138482.099999992
35,2020-03-01,16527984.38
36,2020-04-01,10183695.93000001
37,2020-05-01,10602537.43999999
38,2020-06-01,14281676.030000053
39,2020-07-01,11739159.47
40,2020-08-01,11547061.640000006
41,2020-09-01,15759357.130000042
42,2020-11-01,12068705.28000003
43,2020-12-01,14759616.530000016
